Date,Value,Anomaly
198001,0.42,-0.76
198002,0.06,-0.90
198003,0.86,0.23
198004,1.17,0.51
198005,0.97,0.20
198006,1.72,1.21
198007,2.29,1.69
198008,3.45,2.91
198009,3.78,3.09
198010,3.54,2.60
198011,3.18,2.28
198012,3.18,2.36
198101,2.55,1.37
198102,2.86,1.90
198103,1.81,1.18
198104,1.92,1.26
198105,1.67,0.90
198106,1.59,1.08
198107,2.33,1.73
198108,2.24,1.70
198109,3.74,3.05
198110,4.77,3.83
198111,4.48,3.58
198112,4.19,3.37
198201,4.30,3.12
198202,3.80,2.84
198203,3.90,3.27
198204,3.25,2.59
198205,2.41,1.64
198206,2.56,2.05
198207,2.69,2.09
198208,1.62,1.08
198209,1.64,0.95
198210,0.76,-0.18
198211,1.86,0.96
198212,2.15,1.33
198301,1.74,0.56
198302,1.27,0.31
198303,1.08,0.45
198304,1.82,1.16
198305,2.72,1.95
198306,2.84,2.33
198307,3.77,3.17
198308,3.00,2.46
198309,2.55,1.86
198310,2.62,1.68
198311,3.25,2.35
198312,3.71,2.89
198401,3.03,1.85
198402,2.57,1.61
198403,2.98,2.35
198404,2.42,1.76
198405,2.61,1.84
198406,-0.95,-1.46
198407,-1.67,-2.27
198408,-1.71,-2.25
198409,-1.44,-2.13
198410,-1.60,-2.54
198411,-1.66,-2.56
198412,-1.61,-2.43
198501,0.22,-0.96
198502,1.13,0.17
198503,2.01,1.38
198504,-0.79,-1.45
198505,-0.85,-1.62
198506,-1.25,-1.76
198507,0.42,-0.18
198508,1.55,1.01
198509,1.40,0.71
198510,1.94,1.00
198511,3.55,2.65
198512,3.08,2.26
198601,2.60,1.42
198602,3.04,2.08
198603,2.58,1.95
198604,2.00,1.34
198605,1.15,0.38
198606,1.68,1.17
198607,1.51,0.91
198608,1.70,1.16
198609,3.36,2.67
198610,3.67,2.73
198611,3.75,2.85
198612,3.61,2.79
198701,3.58,2.40
198702,2.63,1.67
198703,2.19,1.56
198704,1.39,0.73
198705,0.68,-0.09
198706,1.46,0.95
198707,1.68,1.08
198708,2.86,2.32
198709,2.79,2.10
198710,2.87,1.93
198711,3.21,2.31
198712,3.96,3.14
198801,-0.13,-1.31
198802,0.12,-0.84
198803,-0.57,-1.20
198804,-1.02,-1.68
198805,-1.94,-2.71
198806,-3.22,-3.73
198807,-3.67,-4.27
198808,-3.92,-4.46
198809,-0.02,-0.71
198810,0.63,-0.31
198811,1.27,0.37
198812,1.12,0.30
198901,0.98,-0.20
198902,0.47,-0.49
198903,0.20,-0.43
198904,0.03,-0.63
198905,0.50,-0.27
198906,1.07,0.56
198907,1.54,0.94
198908,1.30,0.76
198909,1.77,1.08
198910,1.52,0.58
198911,1.67,0.77
198912,1.21,0.39
199001,1.29,0.11
199002,2.58,1.62
199003,2.00,1.37
199004,1.53,0.87
199005,2.06,1.29
199006,2.36,1.85
199007,2.01,1.41
199008,2.44,1.90
199009,3.63,2.94
199010,4.36,3.42
199011,4.63,3.73
199012,5.37,4.55
199101,0.00,-1.18
199102,-0.26,-1.22
199103,-0.75,-1.38
199104,-0.87,-1.53
199105,-0.33,-1.10
199106,-1.07,-1.58
199107,-1.88,-2.48
199108,-1.45,-1.99
199109,-2.21,-2.90
199110,0.71,-0.23
199111,0.82,-0.08
199112,0.58,-0.24
199201,0.83,-0.35
199202,0.67,-0.29
199203,1.00,0.37
199204,1.39,0.73
199205,-0.60,-1.37
199206,-0.70,-1.21
199207,1.43,0.83
199208,1.50,0.96
199209,2.72,2.03
199210,2.85,1.91
199211,4.21,3.31
199212,4.03,3.21
199301,4.75,3.57
199302,4.20,3.24
199303,3.80,3.17
199304,3.70,3.04
199305,-0.74,-1.51
199306,0.76,0.25
199307,-0.29,-0.89
199308,-0.96,-1.50
199309,1.02,0.33
199310,1.05,0.11
199311,-0.09,-0.99
199312,-0.65,-1.47
199401,-0.19,-1.37
199402,-0.33,-1.29
199403,-0.33,-0.96
199404,-0.13,-0.79
199405,-0.80,-1.57
199406,0.25,-0.26
199407,0.48,-0.12
199408,0.90,0.36
199409,-0.42,-1.11
199410,-0.56,-1.50
199411,-0.61,-1.51
199412,-0.62,-1.44
199501,-0.19,-1.37
199502,-0.60,-1.56
199503,-0.96,-1.59
199504,-0.41,-1.07
199505,-0.22,-0.99
199506,-0.99,-1.50
199507,-0.54,-1.14
199508,-0.45,-0.99
199509,-1.12,-1.81
199510,0.49,-0.45
199511,1.08,0.18
199512,-0.38,-1.20
199601,0.20,-0.98
199602,0.34,-0.62
199603,0.10,-0.53
199604,0.66,0.00
199605,0.58,-0.19
199606,0.64,0.13
199607,0.62,0.02
199608,-1.12,-1.66
199609,0.81,0.12
199610,0.73,-0.21
199611,0.78,-0.12
199612,0.98,0.16
199701,1.34,0.16
199702,2.32,1.36
199703,2.66,2.03
199704,1.86,1.20
199705,3.05,2.28
199706,2.77,2.26
199707,2.65,2.05
199708,2.61,2.07
199709,2.71,2.02
199710,2.39,1.45
199711,1.84,0.94
199712,1.45,0.63
199801,1.87,0.69
199802,2.25,1.29
199803,2.64,2.01
199804,2.62,1.96
199805,-0.75,-1.52
199806,-1.15,-1.66
199807,-1.36,-1.96
199808,-0.75,-1.29
199809,-1.49,-2.18
199810,-1.80,-2.74
199811,-2.64,-3.54
199812,-3.31,-4.13
199901,-2.72,-3.90
199902,-2.59,-3.55
199903,-2.75,-3.38
199904,-1.79,-2.45
199905,-2.24,-3.01
199906,-1.43,-1.94
199907,-1.29,-1.89
199908,-1.74,-2.28
199909,-1.92,-2.61
199910,-2.12,-3.06
199911,-2.81,-3.71
199912,-2.97,-3.79
200001,-3.23,-4.41
200002,-3.46,-4.42
200003,-4.16,-4.79
200004,0.27,-0.39
200005,0.86,0.09
200006,1.47,0.96
200007,2.09,1.49
200008,2.80,2.26
200009,3.91,3.22
200010,4.02,3.08
200011,4.02,3.12
200012,4.14,3.32
200101,3.57,2.39
200102,3.79,2.83
200103,-0.69,-1.32
200104,-0.80,-1.46
200105,-0.56,-1.33
200106,-0.82,-1.33
200107,-1.37,-1.97
200108,-1.67,-2.21
200109,0.72,0.03
200110,2.57,1.63
200111,2.84,1.94
200112,2.64,1.82
200201,3.01,1.83
200202,2.90,1.94
200203,2.39,1.76
200204,2.47,1.81
200205,2.62,1.85
200206,-0.87,-1.38
200207,-1.03,-1.63
200208,-1.71,-2.25
200209,-2.26,-2.95
200210,-2.49,-3.43
200211,-2.62,-3.52
200212,-2.92,-3.74
200301,-3.54,-4.72
200302,-3.82,-4.78
200303,-3.97,-4.60
200304,-3.84,-4.50
200305,0.78,0.01
200306,-0.38,-0.89
200307,-0.81,-1.41
200308,-0.73,-1.27
200309,0.51,-0.18
200310,0.59,-0.35
200311,0.80,-0.10
200312,0.97,0.15
200401,1.01,-0.17
200402,-0.44,-1.40
200403,0.42,-0.21
200404,-1.25,-1.91
200405,1.74,0.97
200406,1.54,1.03
200407,2.06,1.46
200408,2.84,2.30
200409,1.77,1.08
200410,1.55,0.61
200411,1.66,0.76
200412,1.84,1.02
200501,2.62,1.44
200502,2.99,2.03
200503,-0.59,-1.22
200504,-1.09,-1.75
200505,-1.54,-2.31
200506,-2.27,-2.78
200507,-1.57,-2.17
200508,-2.32,-2.86
200509,-2.54,-3.23
200510,-3.36,-4.30
200511,0.26,-0.64
200512,0.21,-0.61
200601,0.92,-0.26
200602,1.40,0.44
200603,1.40,0.77
200604,0.88,0.22
200605,1.53,0.76
200606,1.36,0.85
200607,1.70,1.10
200608,1.34,0.80
200609,1.37,0.68
200610,2.32,1.38
200611,2.62,1.72
200612,3.11,2.29
200701,3.92,2.74
200702,-0.46,-1.42
200703,-0.19,-0.82
200704,-0.24,-0.90
200705,-0.43,-1.20
200706,-0.96,-1.47
200707,-1.40,-2.00
200708,-0.17,-0.71
200709,-0.89,-1.58
200710,-1.16,-2.10
200711,-1.54,-2.44
200712,0.21,-0.61
200801,0.62,-0.56
200802,1.54,0.58
200803,1.79,1.16
200804,-1.03,-1.69
200805,-1.26,-2.03
200806,0.96,0.45
200807,1.14,0.54
200808,-0.96,-1.50
200809,1.08,0.39
200810,0.71,-0.23
200811,1.02,0.12
200812,1.84,1.02
200901,1.58,0.40
200902,1.85,0.89
200903,2.56,1.93
200904,3.11,2.45
200905,2.66,1.89
200906,3.18,2.67
200907,2.90,2.30
200908,2.97,2.43
200909,2.16,1.47
200910,2.58,1.64
200911,-0.72,-1.62
200912,-0.47,-1.29
201001,-0.68,-1.86
201002,-0.65,-1.61
201003,-1.26,-1.89
201004,-1.76,-2.42
201005,0.92,0.15
201006,1.59,1.08
201007,2.67,2.07
201008,-0.78,-1.32
201009,-0.61,-1.30
201010,-1.04,-1.98
201011,-0.77,-1.67
201012,-1.17,-1.99
201101,-1.24,-2.42
201102,0.69,-0.27
201103,1.47,0.84
201104,2.36,1.70
201105,3.57,2.80
201106,2.25,1.74
201107,3.04,2.44
201108,2.77,2.23
201109,4.21,3.52
201110,4.20,3.26
201111,5.78,4.88
201112,5.64,4.82
201201,5.72,4.54
201202,0.01,-0.95
201203,-0.39,-1.02
201204,-0.90,-1.56
201205,-1.54,-2.31
201206,-2.65,-3.16
201207,-2.80,-3.40
201208,-3.02,-3.56
201209,-3.08,-3.77
201210,-2.80,-3.74
201211,-3.60,-4.50
201212,-3.64,-4.46
201301,0.38,-0.80
201302,0.74,-0.22
201303,-0.72,-1.35
201304,1.36,0.70
201305,0.85,0.08
201306,1.99,1.48
201307,3.30,2.70
201308,3.64,3.10
201309,3.04,2.35
201310,3.08,2.14
201311,3.10,2.20
201312,3.13,2.31
201401,3.31,2.13
201402,3.29,2.33
201403,2.53,1.90
201404,1.93,1.27
201405,2.26,1.49
201406,2.18,1.67
201407,2.30,1.70
201408,3.44,2.90
201409,4.10,3.41
201410,3.93,2.99
201411,4.03,3.13
201412,3.54,2.72
201501,3.17,1.99
201502,2.65,1.69
201503,1.72,1.09
201504,1.26,0.60
201505,1.70,0.93
201506,2.61,2.10
201507,2.18,1.58
201508,2.27,1.73
201509,-0.41,-1.10
201510,-0.53,-1.47
201511,-0.89,-1.79
201512,-0.89,-1.71
201601,-0.98,-2.16
201602,0.23,-0.73
201603,1.18,0.55
201604,-0.24,-0.90
201605,-0.65,-1.42
201606,-1.52,-2.03
201607,-1.88,-2.48
201608,0.88,0.34
201609,1.79,1.10
201610,1.93,0.99
201611,1.59,0.69
201612,1.32,0.50
201701,2.02,0.84
201702,1.93,0.97
201703,2.56,1.93
201704,2.36,1.70
201705,2.83,2.06
201706,-0.79,-1.30
201707,-1.10,-1.70
201708,-0.62,-1.16
201709,-1.59,-2.28
201710,0.04,-0.90
201711,0.67,-0.23
201712,0.36,-0.46
201801,0.30,-0.88
201802,1.32,0.36
201803,1.22,0.59
201804,1.70,1.04
201805,2.40,1.63
201806,1.91,1.40
201807,1.41,0.81
201808,0.95,0.41
201809,1.79,1.10
201810,2.52,1.58
201811,3.23,2.33
201812,3.17,2.35
201901,3.14,1.96
201902,3.03,2.07
201903,2.94,2.31
201904,3.60,2.94
201905,3.68,2.91
201906,3.35,2.84
201907,3.45,2.85
201908,2.99,2.45
201909,2.76,2.07
201910,3.30,2.36
201911,3.13,2.23
201912,2.89,2.07
202001,3.85,2.67
202002,3.16,2.20
202003,3.23,2.60
202004,2.58,1.92
202005,2.63,1.86
202006,2.05,1.54
202007,2.00,1.40
202008,2.74,2.20
202009,2.72,2.03
202010,2.54,1.60
202011,-0.06,-0.96
202012,-0.37,-1.19
202101,-0.49,-1.67
202102,-0.63,-1.59
202103,-1.07,-1.70
202104,-1.71,-2.37
202105,-1.97,-2.74
202106,1.56,1.05
202107,2.74,2.14
