Date,Value,Anomaly
198001,0.74,-1.46
198002,0.87,-1.04
198003,3.51,1.19
198004,3.71,0.51
198005,3.11,-0.62
198006,4.66,1.36
198007,4.16,0.82
198008,5.75,2.40
198009,3.64,0.47
198010,1.55,-1.17
198011,0.86,-1.71
198012,2.27,0.11
198101,0.68,-1.52
198102,2.68,0.77
198103,0.79,-1.53
198104,3.92,0.72
198105,2.71,-1.02
198106,3.51,0.21
198107,4.70,1.36
198108,2.92,-0.43
198109,6.01,2.84
198110,4.47,1.75
198111,1.37,-1.20
198112,1.90,-0.26
198201,2.39,0.19
198202,1.41,-0.50
198203,2.95,0.63
198204,2.00,-1.20
198205,2.65,-1.08
198206,3.83,0.53
198207,3.65,0.31
198208,0.93,-2.42
198209,3.20,0.03
198210,0.91,-1.81
198211,5.69,3.12
198212,3.08,0.92
198301,0.90,-1.30
198302,0.93,-0.98
198303,2.28,-0.04
198304,4.39,1.19
198305,5.15,1.42
198306,4.10,0.80
198307,5.37,2.03
198308,1.70,-1.65
198309,2.53,-0.64
198310,3.09,0.37
198311,4.21,1.64
198312,3.33,1.17
198401,0.67,-1.53
198402,1.26,-0.65
198403,3.26,0.94
198404,2.45,-0.75
198405,3.66,-0.07
198406,1.61,-1.69
198407,1.33,-2.01
198408,3.30,-0.05
198409,3.05,-0.12
198410,2.17,-0.55
198411,2.60,0.03
198412,2.49,0.33
198501,2.32,0.12
198502,3.42,1.51
198503,4.33,2.01
198504,1.92,-1.28
198505,3.16,-0.57
198506,1.87,-1.43
198507,3.92,0.58
198508,5.51,2.16
198509,2.53,-0.64
198510,3.76,1.04
198511,5.58,3.01
198512,1.29,-0.87
198601,0.96,-1.24
198602,2.96,1.05
198603,2.06,-0.26
198604,2.65,-0.55
198605,1.86,-1.87
198606,4.65,1.35
198607,2.83,-0.51
198608,3.65,0.30
198609,6.75,3.58
198610,3.21,0.49
198611,1.63,-0.94
198612,2.09,-0.07
198701,1.98,-0.22
198702,0.33,-1.58
198703,2.15,-0.17
198704,2.09,-1.11
198705,2.32,-1.41
198706,5.49,2.19
198707,3.72,0.38
198708,5.97,2.62
198709,2.84,-0.33
198710,2.33,-0.39
198711,3.02,0.45
