Date,Value,Anomaly
198001,24.6,-0.6
198002,22.0,-5.3
198003,31.1,-5.2
198004,46.1,-1.8
198005,59.7,0.4
198006,64.3,-4.7
198007,72.8,-0.3
198008,72.9,1.5
198009,63.6,-0.6
198010,46.4,-5.9
198011,37.4,-3.0
198012,25.7,-5.0
198101,18.9,-6.3
198102,28.0,0.7
198103,36.0,-0.3
198104,49.7,1.8
198105,55.8,-3.5
198106,68.3,-0.7
198107,72.2,-0.9
198108,69.8,-1.6
198109,60.6,-3.6
198110,47.0,-5.3
198111,40.5,0.1
198112,27.8,-2.9
198201,16.8,-8.4
198202,20.7,-6.6
198203,32.8,-3.5
198204,43.0,-4.9
198205,63.9,4.6
198206,64.2,-4.8
198207,72.3,-0.8
198208,68.2,-3.2
198209,61.8,-2.4
198210,52.9,0.6
198211,41.1,0.7
198212,37.0,6.3
198301,27.7,2.5
198302,30.5,3.2
198303,37.8,1.5
198304,43.7,-4.2
198305,54.2,-5.1
198306,68.0,-1.0
198307,74.2,1.1
198308,73.3,1.9
198309,64.3,0.1
198310,51.7,-0.6
198311,40.8,0.4
198312,20.5,-10.2
198401,17.9,-7.3
198402,32.9,5.6
198403,28.2,-8.1
198404,47.0,-0.9
198405,54.1,-5.2
198406,70.5,1.5
198407,70.9,-2.2
198408,72.3,0.9
198409,61.0,-3.2
198410,54.7,2.4
198411,38.6,-1.8
198412,33.9,3.2
198501,19.9,-5.3
198502,23.1,-4.2
198503,37.9,1.6
198504,51.9,4.0
198505,61.0,1.7
198506,63.7,-5.3
198507,71.1,-2.0
198508,68.4,-3.0
198509,63.9,-0.3
198510,52.3,0.0
198511,41.3,0.9
198512,22.3,-8.4
198601,23.7,-1.5
198602,24.2,-3.1
198603,37.2,0.9
198604,49.7,1.8
198605,60.0,0.7
198606,66.7,-2.3
198607,73.6,0.5
198608,67.7,-3.7
198609,64.6,0.4
198610,51.8,-0.5
198611,36.7,-3.7
198612,30.7,0.0
198701,25.6,0.4
198702,28.8,1.5
198703,38.6,2.3
198704,49.7,1.8
198705,62.4,3.1
198706,70.6,1.6
198707,74.9,1.8
198708,70.6,-0.8
198709,63.5,-0.7
198710,45.9,-6.4
198711,42.3,1.9
198712,33.0,2.3
198801,22.8,-2.4
198802,22.5,-4.8
198803,35.9,-0.4
198804,47.3,-0.6
198805,61.0,1.7
198806,69.6,0.6
198807,75.9,2.8
198808,74.3,2.9
198809,62.6,-1.6
198810,45.3,-7.0
198811,41.2,0.8
198812,28.5,-2.2
198901,31.8,6.6
198902,23.3,-4.0
198903,34.1,-2.2
198904,44.2,-3.7
198905,56.6,-2.7
198906,67.2,-1.8
198907,72.2,-0.9
198908,69.6,-1.8
198909,61.2,-3.0
198910,51.5,-0.8
198911,37.4,-3.0
198912,17.4,-13.3
199001,33.0,7.8
199002,30.0,2.7
199003,38.5,2.2
199004,48.4,0.5
199005,56.0,-3.3
199006,67.6,-1.4
199007,71.4,-1.7
199008,69.6,-1.8
199009,62.8,-1.4
199010,51.2,-1.1
199011,42.8,2.4
199012,31.8,1.1
199101,24.1,-1.1
199102,30.1,2.8
199103,39.0,2.7
199104,50.7,2.8
199105,65.2,5.9
199106,71.3,2.3
199107,73.8,0.7
199108,71.8,0.4
199109,61.5,-2.7
199110,53.5,1.2
199111,37.1,-3.3
199112,31.2,0.5
199201,27.2,2.0
199202,29.5,2.2
