article_title,country,revision_id,article_quality,population,region
Majah Ha Adrif,Afghanistan,1233202991.0,Start,42.4,SOUTH ASIA
Haroon al-Afghani,Afghanistan,1230459615.0,B,42.4,SOUTH ASIA
Tayyab Agha,Afghanistan,1225661708.0,Start,42.4,SOUTH ASIA
Khadija Zahra Ahmadi,Afghanistan,1234741562.0,Stub,42.4,SOUTH ASIA
Aziza Ahmadyar,Afghanistan,1195651393.0,Start,42.4,SOUTH ASIA
Muqadasa Ahmadzai,Afghanistan,1235521766.0,Start,42.4,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Afghanistan,1176429234.0,Start,42.4,SOUTH ASIA
Amir Muhammad Akhundzada,Afghanistan,1247931713.0,Start,42.4,SOUTH ASIA
Nasrullah Baryalai Arsalai,Afghanistan,1225385278.0,Start,42.4,SOUTH ASIA
Abdul Rahim Ayoubi,Afghanistan,1226326055.0,Start,42.4,SOUTH ASIA
Ismael Balkhi,Afghanistan,1244521219.0,Start,42.4,SOUTH ASIA
Abdul Baqi Turkistani,Afghanistan,1231655023.0,Stub,42.4,SOUTH ASIA
Mohammad Ghous Bashiri,Afghanistan,1237694188.0,Start,42.4,SOUTH ASIA
Jan Baz,Afghanistan,1227635806.0,Stub,42.4,SOUTH ASIA
Bashir Ahmad Bezan,Afghanistan,1248505877.0,Start,42.4,SOUTH ASIA
Rafiullah Bidar,Afghanistan,1197443408.0,Stub,42.4,SOUTH ASIA
Mohammad Siddiq Chakari,Afghanistan,1134129082.0,Stub,42.4,SOUTH ASIA
Cheragh Ali Cheragh,Afghanistan,1193992206.0,Start,42.4,SOUTH ASIA
Nasir Ahmad Durrani,Afghanistan,988838315.0,Stub,42.4,SOUTH ASIA
Muhammad Hashim Esmatullahi,Afghanistan,949986748.0,Stub,42.4,SOUTH ASIA
Ezatullah (Nangarhar),Afghanistan,1158302291.0,Stub,42.4,SOUTH ASIA
Aimal Faizi,Afghanistan,1185105938.0,Stub,42.4,SOUTH ASIA
Gajinder Singh Safri,Afghanistan,1212323536.0,Stub,42.4,SOUTH ASIA
Sharif Ghalib,Afghanistan,1245967190.0,Start,42.4,SOUTH ASIA
Hashmat Ghani Ahmadzai,Afghanistan,1207743719.0,C,42.4,SOUTH ASIA
Abdul Ghani Ghani,Afghanistan,1227026187.0,Stub,42.4,SOUTH ASIA
Ghulam Ghaus,Afghanistan,1158659195.0,Stub,42.4,SOUTH ASIA
Ghulam Muhammad Ghobar,Afghanistan,1240993642.0,Stub,42.4,SOUTH ASIA
Mohammad Gul (Helmand Council),Afghanistan,1136611354.0,Stub,42.4,SOUTH ASIA
Sayed Yousuf Halim,Afghanistan,1234514565.0,Stub,42.4,SOUTH ASIA
Rangina Hamidi,Afghanistan,1234743111.0,C,42.4,SOUTH ASIA
Sayed Zafar Hashemi,Afghanistan,1179137138.0,Start,42.4,SOUTH ASIA
Qutbuddin Hilal,Afghanistan,1246566795.0,Start,42.4,SOUTH ASIA
Mahboba Hoqomal,Afghanistan,1243745950.0,Stub,42.4,SOUTH ASIA
Musa Hotak,Afghanistan,1246566804.0,Start,42.4,SOUTH ASIA
Mirza Muhammad Ismail,Afghanistan,1235165845.0,C,42.4,SOUTH ASIA
