,Geography,Population,Region
3,Algeria,46.8,NORTHERN AFRICA
4,Egypt,105.2,NORTHERN AFRICA
5,Libya,6.9,NORTHERN AFRICA
6,Morocco,37.0,NORTHERN AFRICA
7,Sudan,48.1,NORTHERN AFRICA
8,Tunisia,11.9,NORTHERN AFRICA
9,Western Sahara,0.6,NORTHERN AFRICA
11,Benin,13.7,WESTERN AFRICA
12,Burkina Faso,22.9,WESTERN AFRICA
13,Cape Verde,0.6,WESTERN AFRICA
14,Cote d'Ivoire,30.9,WESTERN AFRICA
15,Gambia,2.8,WESTERN AFRICA
16,Ghana,34.1,WESTERN AFRICA
17,Guinea,14.2,WESTERN AFRICA
18,GuineaBissau,2.2,WESTERN AFRICA
19,Liberia,5.4,WESTERN AFRICA
20,Mali,23.3,WESTERN AFRICA
21,Mauritania,4.9,WESTERN AFRICA
22,Niger,27.2,WESTERN AFRICA
23,Nigeria,223.8,WESTERN AFRICA
24,Senegal,18.3,WESTERN AFRICA
25,Sierra Leone,8.9,WESTERN AFRICA
26,Togo,9.1,WESTERN AFRICA
28,Burundi,13.2,EASTERN AFRICA
29,Comoros,0.9,EASTERN AFRICA
30,Djibouti,1.1,EASTERN AFRICA
31,Eritrea,3.7,EASTERN AFRICA
32,Ethiopia,126.5,EASTERN AFRICA
33,Kenya,55.1,EASTERN AFRICA
34,Madagascar,30.4,EASTERN AFRICA
35,Malawi,19.8,EASTERN AFRICA
36,Mauritius,1.3,EASTERN AFRICA
37,Mayotte,0.3,EASTERN AFRICA
38,Mozambique,33.9,EASTERN AFRICA
39,Reunion,0.9,EASTERN AFRICA
40,Rwanda,14.1,EASTERN AFRICA
41,Seychelles,0.1,EASTERN AFRICA
42,Somalia,18.1,EASTERN AFRICA
43,South Sudan,11.1,EASTERN AFRICA
44,Tanzania,67.4,EASTERN AFRICA
45,Uganda,48.6,EASTERN AFRICA
46,Zambia,20.2,EASTERN AFRICA
47,Zimbabwe,16.7,EASTERN AFRICA
49,Angola,36.7,MIDDLE AFRICA
50,Cameroon,28.1,MIDDLE AFRICA
51,Central African Republic,6.2,MIDDLE AFRICA
52,Chad,18.3,MIDDLE AFRICA
53,Congo,6.1,MIDDLE AFRICA
54,Congo DR,102.3,MIDDLE AFRICA
55,Equatorial Guinea,1.7,MIDDLE AFRICA
56,Gabon,2.4,MIDDLE AFRICA
57,Sao Tome and Principe,0.2,MIDDLE AFRICA
59,Botswana,2.7,SOUTHERN AFRICA
60,eSwatini,1.2,SOUTHERN AFRICA
61,Lesotho,2.3,SOUTHERN AFRICA
62,Namibia,2.6,SOUTHERN AFRICA
63,South Africa,60.7,SOUTHERN AFRICA
65,Canada,40.1,NORTHERN AMERICA
66,United States,335.0,NORTHERN AMERICA
69,Belize,0.5,CENTRAL AMERICA
70,Costa Rica,5.3,CENTRAL AMERICA
71,El Salvador,6.4,CENTRAL AMERICA
72,Guatemala,18.1,CENTRAL AMERICA
73,Honduras,9.7,CENTRAL AMERICA
74,Mexico,131.0,CENTRAL AMERICA
75,Nicaragua,6.8,CENTRAL AMERICA
76,Panama,4.5,CENTRAL AMERICA
78,Antigua and Barbuda,0.1,CARIBBEAN
79,Bahamas,0.4,CARIBBEAN
80,Barbados,0.3,CARIBBEAN
81,Cuba,11.0,CARIBBEAN
82,Curacao,0.1,CARIBBEAN
83,Dominica,0.1,CARIBBEAN
84,Dominican Republic,11.3,CARIBBEAN
85,Grenada,0.1,CARIBBEAN
86,Guadeloupe,0.4,CARIBBEAN
87,Haiti,11.6,CARIBBEAN
88,Jamaica,2.8,CARIBBEAN
89,Martinique,0.3,CARIBBEAN
90,Puerto Rico,3.3,CARIBBEAN
91,St. Kitts and Nevis,0.1,CARIBBEAN
92,St. Lucia,0.2,CARIBBEAN
93,St. Vincent and the Grenadines,0.1,CARIBBEAN
94,Trinidad and Tobago,1.4,CARIBBEAN
96,Argentina,46.3,SOUTH AMERICA
97,Bolivia,12.2,SOUTH AMERICA
98,Brazil,204.0,SOUTH AMERICA
99,Chile,20.0,SOUTH AMERICA
100,Colombia,52.2,SOUTH AMERICA
101,Ecuador,17.1,SOUTH AMERICA
102,French Guiana,0.3,SOUTH AMERICA
103,Guyana,0.8,SOUTH AMERICA
104,Paraguay,6.2,SOUTH AMERICA
105,Peru,33.8,SOUTH AMERICA
106,Suriname,0.6,SOUTH AMERICA
107,Uruguay,3.6,SOUTH AMERICA
108,Venezuela,28.8,SOUTH AMERICA
111,Armenia,3.0,WESTERN ASIA
112,Azerbaijan,10.2,WESTERN ASIA
113,Bahrain,1.6,WESTERN ASIA
114,Cyprus,1.3,WESTERN ASIA
115,Georgia,3.8,WESTERN ASIA
116,Iraq,45.5,WESTERN ASIA
117,Israel,9.8,WESTERN ASIA
118,Jordan,11.4,WESTERN ASIA
119,Kuwait,4.4,WESTERN ASIA
120,Lebanon,5.4,WESTERN ASIA
121,Oman,5.0,WESTERN ASIA
122,Palestinian Territory,5.5,WESTERN ASIA
123,Qatar,2.7,WESTERN ASIA
124,Saudi Arabia,36.9,WESTERN ASIA
125,Syria,23.2,WESTERN ASIA
126,Turkey,85.6,WESTERN ASIA
127,United Arab Emirates,9.5,WESTERN ASIA
128,Yemen,34.4,WESTERN ASIA
130,Kazakhstan,19.9,CENTRAL ASIA
131,Kyrgyzstan,6.8,CENTRAL ASIA
132,Tajikistan,10.2,CENTRAL ASIA
133,Turkmenistan,7.1,CENTRAL ASIA
134,Uzbekistan,36.4,CENTRAL ASIA
136,Afghanistan,42.4,SOUTH ASIA
137,Bangladesh,173.5,SOUTH ASIA
